,USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE
2,429,595,828124615,watch
3,429,592,828124615,watch
4,429,590,828124615,watch
5,429,434,828124615,watch
7,429,225,828124615,click
11,429,165,828124615,click
12,429,161,828124615,click
13,429,150,828124615,click
14,429,22,828124615,click
16,429,225,828124615,watch
18,429,349,828124615,click
19,429,588,828124615,watch
20,429,165,828124615,watch
22,429,22,828124615,watch
23,429,595,828124615,click
24,429,592,828124615,click
25,429,590,828124615,click
26,429,588,828124615,click
28,429,434,828124615,click
29,429,150,828124615,watch
31,429,420,828124615,click
32,429,161,828124615,watch
33,429,432,828124615,click
35,429,60,828124616,watch
36,429,256,828124616,click
37,429,252,828124616,click
38,429,236,828124616,watch
40,429,48,828124616,click
41,429,60,828124616,click
43,429,48,828124616,watch
44,429,151,828124616,click
48,429,185,828124616,click
49,429,186,828124616,click
52,429,208,828124616,click
53,429,151,828124616,watch
54,429,252,828124616,watch
55,429,186,828124616,watch
56,429,185,828124616,watch
57,429,168,828124616,watch
59,429,168,828124616,click
60,429,256,828124616,watch
62,429,261,828124616,watch
63,429,300,828124616,click
65,429,300,828124616,watch
66,429,315,828124616,watch
67,429,317,828124616,watch
68,429,339,828124616,watch
69,429,380,828124616,watch
72,429,316,828124616,click
73,429,317,828124616,click
74,429,329,828124616,click
75,429,339,828124616,click
76,429,380,828124616,click
78,429,553,828124616,click
79,429,315,828124616,click
80,429,292,828124616,click
81,429,292,828124616,watch
82,429,282,828124616,click
83,429,266,828124616,watch
88,429,282,828124616,watch
91,429,236,828124616,click
92,429,266,828124616,click
98,429,261,828124616,click
100,107,1,829322340,watch
101,107,2,829322340,watch
102,107,5,829322340,watch
103,107,11,829322340,watch
104,107,141,829322340,watch
107,107,62,829322340,watch
108,107,1,829322340,click
109,107,104,829322340,click
110,107,141,829322340,click
111,107,62,829322340,click
114,107,11,829322340,click
115,107,5,829322340,click
116,107,2,829322340,click
117,191,1,829759809,watch
119,191,720,829759809,click
122,191,494,829759809,click
123,191,6,829759809,watch
124,191,16,829759809,watch
125,191,21,829759809,watch
127,191,25,829759809,watch
128,191,32,829759809,watch
129,191,36,829759809,watch
130,191,52,829759809,watch
131,191,58,829759809,watch
134,191,111,829759809,watch
135,191,720,829759809,watch
137,191,608,829759809,watch
139,191,17,829759809,watch
140,191,111,829759809,click
141,191,608,829759809,click
143,191,1,829759809,click
144,191,6,829759809,click
145,191,16,829759809,click
146,191,17,829759809,click
147,191,25,829759809,click
148,191,32,829759809,click
149,191,36,829759809,click
150,191,52,829759809,click
151,191,58,829759809,click
154,191,95,829759809,click
155,191,21,829759809,click
156,191,223,829760897,click
158,191,235,829760897,watch
162,191,224,829760897,watch
164,191,223,829760897,watch
165,191,215,829760897,watch
172,191,161,829760897,click
173,191,34,829760897,click
174,191,158,829760897,click
176,191,110,829760897,click
177,191,150,829760897,click
180,191,34,829760897,watch
182,191,215,829760897,click
186,191,348,829760897,click
187,191,224,829760897,click
190,191,235,829760897,click
191,191,236,829760897,click
192,191,246,829760897,click
193,191,348,829760897,watch
195,191,246,829760897,watch
199,191,261,829760898,watch
200,191,265,829760898,watch
201,191,272,829760898,watch
204,191,151,829760898,watch
205,191,293,829760898,watch
206,191,296,829760898,watch
207,191,337,829760898,watch
209,191,318,829760898,watch
212,191,307,829760898,watch
214,191,300,829760898,watch
215,191,673,829760898,watch
217,191,47,829760898,watch
220,191,380,829760898,click
221,191,337,829760898,click
223,191,318,829760898,click
226,191,307,829760898,click
228,191,300,829760898,click
230,191,296,829760898,click
231,191,293,829760898,click
232,191,288,829760898,click
234,191,282,829760898,click
236,191,272,829760898,click
238,191,265,829760898,click
239,191,261,829760898,click
241,191,673,829760898,click
243,191,50,829760898,watch
244,191,50,829760898,click
245,191,47,829760898,click
246,191,151,829760898,click
247,99,10,829827514,watch
248,99,10,829827514,click
249,99,160,829828005,click
250,99,344,829828005,click
251,99,145,829828005,watch
252,99,231,829828005,watch
253,99,153,829828005,click
254,99,165,829828005,click
255,99,225,829828005,click
256,99,150,829828005,watch
257,99,163,829828005,watch
258,99,161,829828005,click
259,99,163,829828005,click
260,99,150,829828005,click
261,99,22,829828005,watch
262,99,225,829828005,watch
264,99,145,829828005,click
267,99,165,829828005,watch
269,99,231,829828005,click
271,99,349,829828005,click
273,99,153,829828005,watch
274,99,22,829828005,click
275,99,592,829828005,click
276,99,435,829828005,click
277,99,349,829828005,watch
278,99,434,829828005,click
280,99,588,829828005,watch
281,99,420,829828005,click
282,99,592,829828005,watch
283,99,588,829828005,click
285,99,344,829828005,watch
288,99,253,829828006,watch
289,99,252,829828006,watch
290,99,236,829828006,watch
291,99,315,829828006,click
292,99,296,829828006,click
293,99,168,829828006,watch
294,99,293,829828006,click
295,99,288,829828006,click
296,99,282,829828006,click
299,99,266,829828006,watch
300,99,266,829828006,click
301,99,292,829828006,click
303,99,256,829828006,watch
306,99,282,829828006,watch
307,99,292,829828006,watch
308,99,293,829828006,watch
309,99,296,829828006,watch
310,99,318,829828006,watch
312,99,196,829828006,click
313,99,168,829828006,click
314,99,318,829828006,click
316,99,256,829828006,click
317,99,253,829828006,click
318,99,252,829828006,click
321,99,236,829828006,click
322,99,380,829828007,click
323,99,339,829828007,watch
324,99,555,829828007,watch
325,99,337,829828007,click
326,99,339,829828007,click
327,99,316,829828007,click
328,99,555,829828007,click
329,99,380,829828007,watch
330,99,337,829828007,watch
331,99,333,829828007,click
332,99,333,829828007,watch
333,54,296,830247106,click
334,54,150,830247106,click
335,54,590,830247106,click
336,54,592,830247106,click
337,54,588,830247330,click
338,54,1,830247330,click
339,54,318,830247358,click
340,54,318,830247358,watch
341,54,161,830247358,click
342,54,339,830247389,click
343,54,329,830247389,click
344,54,595,830247389,click
345,54,32,830247417,click
347,54,110,830247832,click
349,54,288,830247887,click
350,54,50,830248246,click
351,54,17,830248246,click
352,35,592,830939391,watch
353,35,592,830939391,click
354,35,150,830939391,watch
355,35,150,830939391,click
356,35,316,830939438,click
357,35,595,830939438,click
358,35,339,830939488,watch
359,35,339,830939488,click
360,35,231,830939488,click
361,35,300,830939505,watch
362,35,300,830939505,click
363,35,21,830939505,watch
364,35,21,830939505,click
365,35,185,830939521,watch
366,35,185,830939521,click
367,35,39,830939546,click
368,35,266,830939546,click
369,35,11,830939577,watch
370,35,11,830939577,click
371,35,50,830939598,watch
372,35,50,830939598,click
373,35,236,830939695,click
374,35,236,830939695,watch
375,35,235,830939733,click
376,35,235,830939733,watch
377,35,261,830939733,watch
378,35,261,830939733,click
379,35,62,830939748,click
380,35,62,830939748,watch
384,35,60,830939912,watch
385,35,60,830939912,click
386,35,342,830939941,watch
387,35,342,830939941,click
388,35,590,830940157,watch
389,35,590,830940157,click
390,35,252,830940246,click
391,35,252,830940246,watch
392,468,590,831400405,watch
393,468,590,831400405,click
394,468,380,831400406,click
395,468,592,831400406,click
396,468,380,831400406,watch
397,468,150,831400406,watch
398,468,150,831400406,click
399,468,296,831400406,click
400,468,349,831400427,click
401,468,153,831400427,click
402,468,588,831400427,click
403,468,344,831400427,click
404,468,595,831400444,watch
405,468,1,831400444,watch
406,468,1,831400444,click
407,468,595,831400444,click
408,468,318,831400444,click
409,468,165,831400444,click
410,468,231,831400464,click
411,468,434,831400464,click
412,468,161,831400464,click
413,468,208,831400480,click
414,468,253,831400480,watch
415,468,292,831400480,watch
416,468,300,831400480,watch
417,468,253,831400480,click
418,468,292,831400480,click
419,468,300,831400480,click
420,468,225,831400499,watch
421,468,225,831400499,click
422,468,110,831400500,click
423,468,288,831400500,click
424,468,185,831400500,click
425,468,32,831400500,click
426,468,110,831400500,watch
427,468,32,831400500,watch
428,468,317,831400519,click
429,468,266,831400519,click
430,468,266,831400519,watch
431,468,39,831400519,click
432,468,39,831400519,watch
433,468,410,831400519,click
434,468,47,831400545,click
435,468,432,831400545,click
436,468,111,831400545,click
437,468,160,831400545,click
438,468,47,831400545,watch
439,353,590,831939568,watch
440,353,590,831939568,click
441,353,380,831939568,click
442,353,296,831939568,watch
443,353,592,831939568,click
444,353,592,831939568,watch
445,353,296,831939568,click
446,353,318,831939590,watch
447,353,588,831939590,click
448,353,153,831939590,click
449,353,318,831939590,click
450,353,344,831939590,watch
451,353,349,831939590,watch
452,353,344,831939590,click
453,353,349,831939590,click
454,353,10,831939669,click
455,353,316,831939669,click
456,353,165,831939669,watch
457,353,165,831939669,click
458,353,595,831939669,watch
459,353,595,831939669,click
460,353,231,831939685,watch
461,353,434,831939685,click
462,353,161,831939685,watch
463,353,231,831939685,click
464,353,1,831939685,watch
465,353,1,831939685,click
466,353,161,831939685,click
467,353,185,831939699,click
468,353,253,831939699,click
469,353,292,831939699,watch
470,353,185,831939699,watch
471,353,292,831939699,click
472,353,110,831939713,click
473,353,225,831939713,click
474,353,288,831939713,click
475,353,32,831939731,click
476,353,34,831939731,click
477,353,47,831939731,click
478,353,47,831939731,watch
479,353,32,831939731,watch
480,353,266,831939731,click
481,353,34,831939731,watch
482,353,160,831939750,click
483,353,432,831939750,click
484,353,236,831939775,click
485,353,19,831939775,watch
486,353,19,831939775,click
487,353,11,831939792,watch
488,353,315,831939792,click
489,353,11,831939792,click
490,353,435,831939792,click
491,353,186,831939806,click
492,353,553,831939806,watch
493,353,186,831939806,watch
494,353,553,831939806,click
495,353,196,831939826,click
496,353,173,831939826,click
497,353,158,831939843,click
499,353,168,831939843,click
500,353,25,831939875,click
501,353,2,831939875,click
502,353,293,831939875,click
503,353,25,831939875,watch
504,353,2,831939875,watch
505,353,172,831939875,click
506,353,293,831939875,watch
507,353,256,831939897,click
508,353,246,831939897,click
509,353,246,831939897,watch
511,353,223,831939914,click
512,353,333,831939914,watch
513,353,5,831939914,click
515,353,333,831939914,click
516,353,223,831939914,watch
517,353,555,831939934,watch
518,353,555,831939934,click
519,353,6,831939947,click
520,353,6,831939947,watch
521,353,22,831939991,click
522,353,22,831939991,watch
523,353,163,831939991,click
524,353,431,831940012,watch
525,353,216,831940012,click
527,353,431,831940012,click
528,353,145,831940036,click
532,353,112,831940093,click
533,353,112,831940093,watch
536,353,70,831940127,watch
537,353,457,831940127,watch
538,353,70,831940127,click
539,353,457,831940127,click
542,353,593,831940167,click
543,353,593,831940167,watch
547,353,364,831940209,watch
548,353,364,831940209,click
549,353,454,831940220,watch
551,353,454,831940220,click
554,353,367,831940260,click
557,353,509,831940286,click
559,353,442,831940398,click
561,353,585,831940432,click
562,353,353,831940468,click
563,353,180,831940495,watch
564,353,180,831940495,click
567,353,552,831940625,click
568,107,296,832003609,click
569,107,150,832003609,click
570,107,380,832003609,click
571,107,590,832003609,click
572,107,150,832003609,watch
573,107,380,832003609,watch
574,107,590,832003609,watch
575,107,349,832003644,watch
576,107,153,832003644,click
577,107,318,832003644,click
578,107,344,832003644,click
579,107,318,832003644,watch
580,107,349,832003644,click
581,107,329,832003678,click
582,107,165,832003678,click
583,107,316,832003678,click
584,107,434,832003700,click
585,107,161,832003700,watch
586,107,161,832003700,click
587,107,253,832003700,watch
588,107,253,832003700,click
589,107,231,832003701,click
590,107,292,832003754,watch
591,107,185,832003754,watch
